episode,reward,steps,success,epsilon,success_rate,loss
133,0.000,80,0,0.9934,0.008,0.067294
134,0.000,80,0,0.9933,0.007,0.035329
135,0.000,80,0,0.9933,0.007,0.080654
136,0.000,80,0,0.9932,0.007,0.016769
137,0.000,80,0,0.9932,0.007,0.152321
138,0.000,80,0,0.9931,0.007,0.027307
139,0.000,80,0,0.9931,0.007,0.031638
140,0.000,80,0,0.9930,0.007,0.017416
141,0.000,80,0,0.9930,0.007,0.013114
142,0.000,80,0,0.9929,0.007,0.018957
143,0.000,80,0,0.9929,0.007,0.021844
144,0.000,80,0,0.9928,0.007,0.053296
145,0.000,80,0,0.9928,0.007,0.045015
146,0.000,80,0,0.9927,0.007,0.045196
147,0.000,80,0,0.9927,0.007,0.026199
148,0.000,80,0,0.9926,0.007,0.097616
149,0.000,80,0,0.9926,0.007,0.055397
150,0.000,80,0,0.9925,0.007,0.028401
151,0.000,80,0,0.9925,0.007,0.016799
152,0.000,80,0,0.9924,0.007,0.103730
153,0.000,80,0,0.9924,0.007,0.144308
154,0.000,80,0,0.9923,0.006,0.021330
155,0.000,80,0,0.9923,0.006,0.014320
156,0.000,80,0,0.9922,0.006,0.016730
157,0.000,80,0,0.9922,0.006,0.023261
158,0.000,80,0,0.9921,0.006,0.026655
159,0.000,80,0,0.9921,0.006,0.012659
160,0.000,80,0,0.9920,0.006,0.021361
161,0.000,80,0,0.9920,0.006,0.084722
162,0.000,80,0,0.9919,0.006,0.025907
163,0.000,80,0,0.9919,0.006,0.020538
164,0.000,80,0,0.9918,0.006,0.012085
165,0.000,80,0,0.9918,0.006,0.177273
166,0.000,80,0,0.9917,0.006,0.042374
167,0.000,80,0,0.9917,0.006,0.017664
168,0.000,80,0,0.9916,0.006,0.054247
169,0.000,80,0,0.9916,0.006,0.086240
170,0.000,80,0,0.9915,0.006,0.030570
171,0.000,80,0,0.9915,0.006,0.062760
172,0.000,80,0,0.9914,0.006,0.026707
173,0.000,80,0,0.9914,0.006,0.013670
174,0.000,80,0,0.9913,0.006,0.009768
