episode,reward,steps,success,epsilon,success_rate
168,0.833,26,1,0.1691,1.000
169,0.788,33,1,0.1689,1.000
170,0.756,38,1,0.1687,1.000
171,0.807,30,1,0.1685,1.000
172,0.762,37,1,0.1684,1.000
173,0.814,29,1,0.1682,1.000
174,0.794,32,1,0.1680,1.000
175,0.814,29,1,0.1679,1.000
176,0.769,36,1,0.1677,1.000
177,0.794,32,1,0.1675,1.000
178,0.826,27,1,0.1674,1.000
179,0.762,37,1,0.1672,1.000
180,0.769,36,1,0.1670,1.000
181,0.788,33,1,0.1669,1.000
182,0.736,41,1,0.1667,1.000
183,0.788,33,1,0.1665,1.000
184,0.756,38,1,0.1664,1.000
185,0.801,31,1,0.1662,1.000
186,0.781,34,1,0.1660,1.000
187,0.801,31,1,0.1659,1.000
188,0.807,30,1,0.1657,1.000
189,0.743,40,1,0.1655,1.000
190,0.794,32,1,0.1654,1.000
191,0.756,38,1,0.1652,1.000
192,0.769,36,1,0.1650,1.000
193,0.781,34,1,0.1649,1.000
194,0.788,33,1,0.1647,1.000
195,0.801,31,1,0.1646,1.000
196,0.801,31,1,0.1644,1.000
197,0.833,26,1,0.1642,1.000
198,0.781,34,1,0.1641,1.000
199,0.788,33,1,0.1639,1.000
200,0.756,38,1,0.1637,1.000
201,0.814,29,1,0.1636,1.000
202,0.769,36,1,0.1634,1.000
203,0.775,35,1,0.1632,1.000
204,0.839,25,1,0.1631,1.000
205,0.775,35,1,0.1629,1.000
206,0.807,30,1,0.1627,1.000
207,0.788,33,1,0.1626,1.000
208,0.794,32,1,0.1624,1.000
209,0.775,35,1,0.1623,1.000
210,0.769,36,1,0.1621,1.000
211,0.769,36,1,0.1619,1.000
212,0.814,29,1,0.1618,1.000
213,0.781,34,1,0.1616,1.000
214,0.762,37,1,0.1615,1.000
215,0.820,28,1,0.1613,1.000
216,0.801,31,1,0.1611,1.000
217,0.820,28,1,0.1610,1.000
218,0.756,38,1,0.1608,1.000
219,0.762,37,1,0.1606,1.000
220,0.762,37,1,0.1605,1.000
221,0.807,30,1,0.1603,1.000
222,0.762,37,1,0.1602,1.000
223,0.749,39,1,0.1600,1.000
224,0.801,31,1,0.1598,1.000
225,0.801,31,1,0.1597,1.000
226,0.788,33,1,0.1595,1.000
227,0.749,39,1,0.1594,1.000
228,0.788,33,1,0.1592,1.000
229,0.820,28,1,0.1590,1.000
230,0.756,38,1,0.1589,1.000
231,0.775,35,1,0.1587,1.000
232,0.775,35,1,0.1586,1.000
233,0.788,33,1,0.1584,1.000
234,0.775,35,1,0.1583,1.000
235,0.769,36,1,0.1581,1.000
236,0.775,35,1,0.1579,1.000
237,0.801,31,1,0.1578,1.000
238,0.762,37,1,0.1576,1.000
239,0.801,31,1,0.1575,1.000
240,0.794,32,1,0.1573,1.000
241,0.788,33,1,0.1571,1.000
242,0.756,38,1,0.1570,1.000
243,0.736,41,1,0.1568,1.000
244,0.807,30,1,0.1567,1.000
245,0.762,37,1,0.1565,1.000
246,0.781,34,1,0.1564,1.000
247,0.781,34,1,0.1562,1.000
248,0.794,32,1,0.1561,1.000
249,0.775,35,1,0.1559,1.000
250,0.781,34,1,0.1557,1.000
251,0.826,27,1,0.1556,1.000
252,0.788,33,1,0.1554,1.000
253,0.781,34,1,0.1553,1.000
254,0.736,41,1,0.1551,1.000
255,0.788,33,1,0.1550,1.000
256,0.788,33,1,0.1548,1.000
257,0.769,36,1,0.1547,1.000
258,0.769,36,1,0.1545,1.000
