episode,reward,steps,success,epsilon,success_rate
733,0.801,31,1,0.0961,1.000
734,0.762,37,1,0.0960,1.000
735,0.788,33,1,0.0959,1.000
736,0.794,32,1,0.0958,1.000
737,0.781,34,1,0.0957,1.000
738,0.743,40,1,0.0956,1.000
739,0.781,34,1,0.0955,1.000
740,0.826,27,1,0.0954,1.000
741,0.736,41,1,0.0953,1.000
742,0.820,28,1,0.0952,1.000
743,0.801,31,1,0.0951,1.000
744,0.762,37,1,0.0950,1.000
745,0.781,34,1,0.0949,1.000
746,0.788,33,1,0.0948,1.000
747,0.814,29,1,0.0947,1.000
748,0.775,35,1,0.0946,1.000
749,0.730,42,1,0.0945,1.000
750,0.781,34,1,0.0944,1.000
751,0.788,33,1,0.0943,1.000
752,0.826,27,1,0.0942,1.000
753,0.762,37,1,0.0942,1.000
754,0.788,33,1,0.0941,1.000
755,0.749,39,1,0.0940,1.000
756,0.775,35,1,0.0939,1.000
757,0.749,39,1,0.0938,1.000
758,0.762,37,1,0.0937,1.000
759,0.769,36,1,0.0936,1.000
760,0.781,34,1,0.0935,1.000
761,0.769,36,1,0.0934,1.000
762,0.775,35,1,0.0933,1.000
763,0.801,31,1,0.0932,1.000
764,0.788,33,1,0.0931,1.000
765,0.788,33,1,0.0930,1.000
766,0.762,37,1,0.0929,1.000
767,0.788,33,1,0.0928,1.000
768,0.769,36,1,0.0928,1.000
769,0.781,34,1,0.0927,1.000
770,0.807,30,1,0.0926,1.000
771,0.794,32,1,0.0925,1.000
772,0.775,35,1,0.0924,1.000
773,0.775,35,1,0.0923,1.000
774,0.781,34,1,0.0922,1.000
775,0.794,32,1,0.0921,1.000
776,0.788,33,1,0.0920,1.000
777,0.781,34,1,0.0919,1.000
778,0.769,36,1,0.0918,1.000
779,0.769,36,1,0.0917,1.000
780,0.794,32,1,0.0916,1.000
781,0.769,36,1,0.0916,1.000
782,0.801,31,1,0.0915,1.000
783,0.814,29,1,0.0914,1.000
784,0.814,29,1,0.0913,1.000
785,0.749,39,1,0.0912,1.000
786,0.775,35,1,0.0911,1.000
787,0.781,34,1,0.0910,1.000
788,0.781,34,1,0.0909,1.000
789,0.788,33,1,0.0908,1.000
790,0.762,37,1,0.0907,1.000
791,0.781,34,1,0.0906,1.000
792,0.801,31,1,0.0906,1.000
793,0.736,41,1,0.0905,1.000
794,0.833,26,1,0.0904,1.000
795,0.743,40,1,0.0903,1.000
796,0.775,35,1,0.0902,1.000
797,0.743,40,1,0.0901,1.000
798,0.756,38,1,0.0900,1.000
799,0.781,34,1,0.0899,1.000
800,0.769,36,1,0.0898,1.000
801,0.794,32,1,0.0897,1.000
802,0.781,34,1,0.0897,1.000
803,0.769,36,1,0.0896,1.000
804,0.814,29,1,0.0895,1.000
805,0.762,37,1,0.0894,1.000
806,0.743,40,1,0.0893,1.000
807,0.788,33,1,0.0892,1.000
808,0.756,38,1,0.0891,1.000
809,0.788,33,1,0.0890,1.000
810,0.794,32,1,0.0889,1.000
811,0.769,36,1,0.0888,1.000
812,0.814,29,1,0.0888,1.000
813,0.756,38,1,0.0887,1.000
814,0.762,37,1,0.0886,1.000
815,0.826,27,1,0.0885,1.000
816,0.801,31,1,0.0884,1.000
817,0.781,34,1,0.0883,1.000
818,0.820,28,1,0.0882,1.000
819,0.749,39,1,0.0881,1.000
820,0.788,33,1,0.0881,1.000
821,0.775,35,1,0.0880,1.000
822,0.749,39,1,0.0879,1.000
823,0.801,31,1,0.0878,1.000
824,0.788,33,1,0.0877,1.000
825,0.736,41,1,0.0876,1.000
826,0.801,31,1,0.0875,1.000
827,0.801,31,1,0.0874,1.000
828,0.807,30,1,0.0873,1.000
829,0.820,28,1,0.0873,1.000
830,0.762,37,1,0.0872,1.000
831,0.781,34,1,0.0871,1.000
832,0.756,38,1,0.0870,1.000
833,0.814,29,1,0.0869,1.000
834,0.839,25,1,0.0868,1.000
835,0.794,32,1,0.0867,1.000
836,0.775,35,1,0.0867,1.000
837,0.769,36,1,0.0866,1.000
838,0.801,31,1,0.0865,1.000
839,0.788,33,1,0.0864,1.000
840,0.762,37,1,0.0863,1.000
841,0.743,40,1,0.0862,1.000
842,0.781,34,1,0.0861,1.000
843,0.820,28,1,0.0860,1.000
844,0.781,34,1,0.0860,1.000
845,0.775,35,1,0.0859,1.000
846,0.814,29,1,0.0858,1.000
847,0.781,34,1,0.0857,1.000
848,0.781,34,1,0.0856,1.000
849,0.762,37,1,0.0855,1.000
850,0.762,37,1,0.0854,1.000
851,0.794,32,1,0.0854,1.000
852,0.788,33,1,0.0853,1.000
853,0.743,40,1,0.0852,1.000
854,0.762,37,1,0.0851,1.000
855,0.814,29,1,0.0850,1.000
856,0.801,31,1,0.0849,1.000
857,0.711,45,1,0.0849,1.000
858,0.807,30,1,0.0848,1.000
859,0.846,24,1,0.0847,1.000
860,0.794,32,1,0.0846,1.000
861,0.775,35,1,0.0845,1.000
862,0.801,31,1,0.0844,1.000
863,0.756,38,1,0.0843,1.000
864,0.820,28,1,0.0843,1.000
865,0.781,34,1,0.0842,1.000
866,0.833,26,1,0.0841,1.000
867,0.788,33,1,0.0840,1.000
868,0.775,35,1,0.0839,1.000
869,0.775,35,1,0.0838,1.000
870,0.801,31,1,0.0838,1.000
871,0.781,34,1,0.0837,1.000
872,0.769,36,1,0.0836,1.000
873,0.794,32,1,0.0835,1.000
874,0.781,34,1,0.0834,1.000
875,0.820,28,1,0.0833,1.000
876,0.775,35,1,0.0833,1.000
877,0.743,40,1,0.0832,1.000
878,0.769,36,1,0.0831,1.000
879,0.762,37,1,0.0830,1.000
880,0.749,39,1,0.0829,1.000
881,0.807,30,1,0.0828,1.000
882,0.756,38,1,0.0828,1.000
883,0.775,35,1,0.0827,1.000
884,0.794,32,1,0.0826,1.000
885,0.814,29,1,0.0825,1.000
886,0.801,31,1,0.0824,1.000
887,0.781,34,1,0.0823,1.000
888,0.801,31,1,0.0823,1.000
889,0.826,27,1,0.0822,1.000
890,0.826,27,1,0.0821,1.000
891,0.775,35,1,0.0820,1.000
892,0.788,33,1,0.0819,1.000
893,0.781,34,1,0.0818,1.000
894,0.801,31,1,0.0818,1.000
895,0.801,31,1,0.0817,1.000
896,0.743,40,1,0.0816,1.000
897,0.781,34,1,0.0815,1.000
898,0.762,37,1,0.0814,1.000
899,0.839,25,1,0.0814,1.000
900,0.826,27,1,0.0813,1.000
901,0.814,29,1,0.0812,1.000
902,0.788,33,1,0.0811,1.000
903,0.794,32,1,0.0810,1.000
904,0.769,36,1,0.0810,1.000
905,0.801,31,1,0.0809,1.000
906,0.736,41,1,0.0808,1.000
907,0.794,32,1,0.0807,1.000
908,0.788,33,1,0.0806,1.000
909,0.762,37,1,0.0805,1.000
910,0.781,34,1,0.0805,1.000
911,0.794,32,1,0.0804,1.000
912,0.788,33,1,0.0803,1.000
913,0.814,29,1,0.0802,1.000
914,0.775,35,1,0.0801,1.000
915,0.775,35,1,0.0801,1.000
916,0.814,29,1,0.0800,1.000
917,0.756,38,1,0.0799,1.000
918,0.775,35,1,0.0798,1.000
919,0.775,35,1,0.0797,1.000
920,0.788,33,1,0.0797,1.000
921,0.743,40,1,0.0796,1.000
922,0.781,34,1,0.0795,1.000
923,0.781,34,1,0.0794,1.000
924,0.801,31,1,0.0793,1.000
925,0.788,33,1,0.0793,1.000
926,0.781,34,1,0.0792,1.000
927,0.801,31,1,0.0791,1.000
928,0.781,34,1,0.0790,1.000
929,0.788,33,1,0.0790,1.000
930,0.749,39,1,0.0789,1.000
931,0.801,31,1,0.0788,1.000
932,0.807,30,1,0.0787,1.000
933,0.781,34,1,0.0786,1.000
934,0.756,38,1,0.0786,1.000
935,0.762,37,1,0.0785,1.000
936,0.769,36,1,0.0784,1.000
937,0.769,36,1,0.0783,1.000
938,0.775,35,1,0.0782,1.000
939,0.769,36,1,0.0782,1.000
940,0.788,33,1,0.0781,1.000
941,0.775,35,1,0.0780,1.000
942,0.769,36,1,0.0779,1.000
943,0.820,28,1,0.0779,1.000
944,0.781,34,1,0.0778,1.000
945,0.794,32,1,0.0777,1.000
946,0.781,34,1,0.0776,1.000
947,0.814,29,1,0.0775,1.000
948,0.794,32,1,0.0775,1.000
949,0.807,30,1,0.0774,1.000
950,0.775,35,1,0.0773,1.000
951,0.820,28,1,0.0772,1.000
952,0.788,33,1,0.0772,1.000
953,0.775,35,1,0.0771,1.000
954,0.769,36,1,0.0770,1.000
955,0.756,38,1,0.0769,1.000
956,0.762,37,1,0.0768,1.000
957,0.814,29,1,0.0768,1.000
958,0.820,28,1,0.0767,1.000
959,0.820,28,1,0.0766,1.000
960,0.781,34,1,0.0765,1.000
961,0.762,37,1,0.0765,1.000
962,0.814,29,1,0.0764,1.000
963,0.781,34,1,0.0763,1.000
964,0.788,33,1,0.0762,1.000
965,0.756,38,1,0.0762,1.000
966,0.781,34,1,0.0761,1.000
967,0.833,26,1,0.0760,1.000
968,0.781,34,1,0.0759,1.000
969,0.762,37,1,0.0759,1.000
970,0.794,32,1,0.0758,1.000
971,0.775,35,1,0.0757,1.000
972,0.756,38,1,0.0756,1.000
973,0.775,35,1,0.0756,1.000
974,0.781,34,1,0.0755,1.000
975,0.756,38,1,0.0754,1.000
976,0.788,33,1,0.0753,1.000
977,0.762,37,1,0.0753,1.000
978,0.814,29,1,0.0752,1.000
979,0.801,31,1,0.0751,1.000
980,0.730,42,1,0.0750,1.000
981,0.743,40,1,0.0750,1.000
982,0.807,30,1,0.0749,1.000
983,0.756,38,1,0.0748,1.000
984,0.756,38,1,0.0747,1.000
985,0.775,35,1,0.0747,1.000
986,0.769,36,1,0.0746,1.000
987,0.781,34,1,0.0745,1.000
988,0.801,31,1,0.0744,1.000
989,0.749,39,1,0.0744,1.000
990,0.788,33,1,0.0743,1.000
991,0.781,34,1,0.0742,1.000
992,0.775,35,1,0.0741,1.000
993,0.788,33,1,0.0741,1.000
994,0.794,32,1,0.0740,1.000
995,0.788,33,1,0.0739,1.000
996,0.794,32,1,0.0738,1.000
997,0.794,32,1,0.0738,1.000
998,0.826,27,1,0.0737,1.000
999,0.781,34,1,0.0736,1.000
1000,0.711,45,1,0.0735,1.000
1001,0.762,37,1,0.0735,1.000
1002,0.775,35,1,0.0734,1.000
1003,0.756,38,1,0.0733,1.000
1004,0.814,29,1,0.0732,1.000
1005,0.762,37,1,0.0732,1.000
1006,0.736,41,1,0.0731,1.000
1007,0.749,39,1,0.0730,1.000
1008,0.788,33,1,0.0730,1.000
1009,0.788,33,1,0.0729,1.000
1010,0.801,31,1,0.0728,1.000
1011,0.730,42,1,0.0727,1.000
1012,0.775,35,1,0.0727,1.000
1013,0.807,30,1,0.0726,1.000
1014,0.781,34,1,0.0725,1.000
1015,0.788,33,1,0.0724,1.000
1016,0.762,37,1,0.0724,1.000
1017,0.788,33,1,0.0723,1.000
1018,0.826,27,1,0.0722,1.000
1019,0.775,35,1,0.0722,1.000
1020,0.756,38,1,0.0721,1.000
1021,0.756,38,1,0.0720,1.000
1022,0.736,41,1,0.0719,1.000
1023,0.756,38,1,0.0719,1.000
1024,0.775,35,1,0.0718,1.000
1025,0.769,36,1,0.0717,1.000
1026,0.788,33,1,0.0717,1.000
1027,0.736,41,1,0.0716,1.000
1028,0.743,40,1,0.0715,1.000
1029,0.769,36,1,0.0714,1.000
1030,0.769,36,1,0.0714,1.000
1031,0.775,35,1,0.0713,1.000
1032,0.801,31,1,0.0712,1.000
1033,0.781,34,1,0.0712,1.000
1034,0.756,38,1,0.0711,1.000
1035,0.788,33,1,0.0710,1.000
1036,0.820,28,1,0.0709,1.000
1037,0.724,43,1,0.0709,1.000
1038,0.769,36,1,0.0708,1.000
1039,0.794,32,1,0.0707,1.000
1040,0.794,32,1,0.0707,1.000
1041,0.743,40,1,0.0706,1.000
1042,0.743,40,1,0.0705,1.000
1043,0.820,28,1,0.0704,1.000
1044,0.743,40,1,0.0704,1.000
1045,0.794,32,1,0.0703,1.000
1046,0.781,34,1,0.0702,1.000
1047,0.756,38,1,0.0702,1.000
1048,0.801,31,1,0.0701,1.000
1049,0.775,35,1,0.0700,1.000
1050,0.781,34,1,0.0700,1.000
1051,0.781,34,1,0.0699,1.000
1052,0.794,32,1,0.0698,1.000
1053,0.781,34,1,0.0697,1.000
1054,0.781,34,1,0.0697,1.000
1055,0.807,30,1,0.0696,1.000
1056,0.743,40,1,0.0695,1.000
1057,0.794,32,1,0.0695,1.000
1058,0.775,35,1,0.0694,1.000
1059,0.788,33,1,0.0693,1.000
1060,0.788,33,1,0.0693,1.000
1061,0.794,32,1,0.0692,1.000
1062,0.788,33,1,0.0691,1.000
1063,0.788,33,1,0.0690,1.000
1064,0.769,36,1,0.0690,1.000
1065,0.762,37,1,0.0689,1.000
1066,0.794,32,1,0.0688,1.000
1067,0.814,29,1,0.0688,1.000
1068,0.788,33,1,0.0687,1.000
1069,0.749,39,1,0.0686,1.000
1070,0.781,34,1,0.0686,1.000
1071,0.794,32,1,0.0685,1.000
1072,0.794,32,1,0.0684,1.000
1073,0.794,32,1,0.0684,1.000
1074,0.769,36,1,0.0683,1.000
1075,0.743,40,1,0.0682,1.000
1076,0.781,34,1,0.0682,1.000
1077,0.762,37,1,0.0681,1.000
1078,0.749,39,1,0.0680,1.000
1079,0.762,37,1,0.0680,1.000
1080,0.788,33,1,0.0679,1.000
1081,0.801,31,1,0.0678,1.000
1082,0.794,32,1,0.0677,1.000
1083,0.814,29,1,0.0677,1.000
1084,0.769,36,1,0.0676,1.000
1085,0.820,28,1,0.0675,1.000
1086,0.769,36,1,0.0675,1.000
1087,0.794,32,1,0.0674,1.000
1088,0.801,31,1,0.0673,1.000
1089,0.807,30,1,0.0673,1.000
1090,0.749,39,1,0.0672,1.000
1091,0.711,45,1,0.0671,1.000
1092,0.788,33,1,0.0671,1.000
1093,0.814,29,1,0.0670,1.000
1094,0.781,34,1,0.0669,1.000
1095,0.788,33,1,0.0669,1.000
1096,0.762,37,1,0.0668,1.000
1097,0.775,35,1,0.0667,1.000
1098,0.769,36,1,0.0667,1.000
1099,0.769,36,1,0.0666,1.000
1100,0.762,37,1,0.0665,1.000
1101,0.769,36,1,0.0665,1.000
1102,0.736,41,1,0.0664,1.000
1103,0.736,41,1,0.0663,1.000
1104,0.781,34,1,0.0663,1.000
1105,0.814,29,1,0.0662,1.000
1106,0.801,31,1,0.0661,1.000
1107,0.839,25,1,0.0661,1.000
1108,0.820,28,1,0.0660,1.000
1109,0.743,40,1,0.0659,1.000
1110,0.749,39,1,0.0659,1.000
1111,0.775,35,1,0.0658,1.000
1112,0.794,32,1,0.0657,1.000
1113,0.736,41,1,0.0657,1.000
1114,0.801,31,1,0.0656,1.000
1115,0.769,36,1,0.0655,1.000
1116,0.781,34,1,0.0655,1.000
1117,0.820,28,1,0.0654,1.000
1118,0.781,34,1,0.0654,1.000
1119,0.788,33,1,0.0653,1.000
1120,0.801,31,1,0.0652,1.000
1121,0.781,34,1,0.0652,1.000
1122,0.743,40,1,0.0651,1.000
1123,0.801,31,1,0.0650,1.000
1124,0.820,28,1,0.0650,1.000
1125,0.794,32,1,0.0649,1.000
1126,0.801,31,1,0.0648,1.000
1127,0.807,30,1,0.0648,1.000
1128,0.788,33,1,0.0647,1.000
1129,0.807,30,1,0.0646,1.000
1130,0.794,32,1,0.0646,1.000
1131,0.769,36,1,0.0645,1.000
1132,0.781,34,1,0.0644,1.000
1133,0.807,30,1,0.0644,1.000
1134,0.788,33,1,0.0643,1.000
1135,0.807,30,1,0.0642,1.000
1136,0.794,32,1,0.0642,1.000
1137,0.762,37,1,0.0641,1.000
1138,0.801,31,1,0.0641,1.000
1139,0.794,32,1,0.0640,1.000
1140,0.775,35,1,0.0639,1.000
1141,0.769,36,1,0.0639,1.000
1142,0.775,35,1,0.0638,1.000
1143,0.781,34,1,0.0637,1.000
1144,0.769,36,1,0.0637,1.000
1145,0.769,36,1,0.0636,1.000
1146,0.814,29,1,0.0635,1.000
1147,0.788,33,1,0.0635,1.000
1148,0.788,33,1,0.0634,1.000
1149,0.859,22,1,0.0634,1.000
1150,0.820,28,1,0.0633,1.000
1151,0.781,34,1,0.0632,1.000
1152,0.749,39,1,0.0632,1.000
1153,0.769,36,1,0.0631,1.000
1154,0.781,34,1,0.0630,1.000
1155,0.736,41,1,0.0630,1.000
1156,0.769,36,1,0.0629,1.000
1157,0.775,35,1,0.0628,1.000
1158,0.769,36,1,0.0628,1.000
1159,0.801,31,1,0.0627,1.000
1160,0.788,33,1,0.0627,1.000
1161,0.775,35,1,0.0626,1.000
1162,0.807,30,1,0.0625,1.000
1163,0.788,33,1,0.0625,1.000
1164,0.801,31,1,0.0624,1.000
1165,0.775,35,1,0.0623,1.000
1166,0.749,39,1,0.0623,1.000
1167,0.756,38,1,0.0622,1.000
1168,0.788,33,1,0.0622,1.000
1169,0.762,37,1,0.0621,1.000
1170,0.743,40,1,0.0620,1.000
1171,0.788,33,1,0.0620,1.000
1172,0.826,27,1,0.0619,1.000
1173,0.801,31,1,0.0619,1.000
1174,0.781,34,1,0.0618,1.000
1175,0.769,36,1,0.0617,1.000
1176,0.820,28,1,0.0617,1.000
1177,0.801,31,1,0.0616,1.000
1178,0.788,33,1,0.0615,1.000
1179,0.711,45,1,0.0615,1.000
1180,0.814,29,1,0.0614,1.000
1181,0.749,39,1,0.0614,1.000
1182,0.749,39,1,0.0613,1.000
1183,0.807,30,1,0.0612,1.000
1184,0.762,37,1,0.0612,1.000
1185,0.788,33,1,0.0611,1.000
1186,0.775,35,1,0.0611,1.000
1187,0.801,31,1,0.0610,1.000
1188,0.756,38,1,0.0609,1.000
1189,0.801,31,1,0.0609,1.000
1190,0.775,35,1,0.0608,1.000
1191,0.762,37,1,0.0607,1.000
1192,0.775,35,1,0.0607,1.000
1193,0.781,34,1,0.0606,1.000
1194,0.769,36,1,0.0606,1.000
1195,0.781,34,1,0.0605,1.000
1196,0.801,31,1,0.0604,1.000
1197,0.788,33,1,0.0604,1.000
1198,0.820,28,1,0.0603,1.000
1199,0.756,38,1,0.0603,1.000
1200,0.781,34,1,0.0602,1.000
1201,0.775,35,1,0.0601,1.000
1202,0.756,38,1,0.0601,1.000
1203,0.769,36,1,0.0600,1.000
1204,0.743,40,1,0.0600,1.000
1205,0.781,34,1,0.0599,1.000
1206,0.762,37,1,0.0598,1.000
1207,0.775,35,1,0.0598,1.000
1208,0.756,38,1,0.0597,1.000
1209,0.762,37,1,0.0597,1.000
1210,0.814,29,1,0.0596,1.000
1211,0.788,33,1,0.0595,1.000
1212,0.814,29,1,0.0595,1.000
1213,0.807,30,1,0.0594,1.000
1214,0.839,25,1,0.0594,1.000
1215,0.769,36,1,0.0593,1.000
1216,0.775,35,1,0.0592,1.000
1217,0.788,33,1,0.0592,1.000
1218,0.814,29,1,0.0591,1.000
1219,0.769,36,1,0.0591,1.000
1220,0.788,33,1,0.0590,1.000
1221,0.762,37,1,0.0590,1.000
1222,0.807,30,1,0.0589,1.000
1223,0.756,38,1,0.0588,1.000
1224,0.788,33,1,0.0588,1.000
1225,0.724,43,1,0.0587,1.000
1226,0.756,38,1,0.0587,1.000
1227,0.769,36,1,0.0586,1.000
1228,0.794,32,1,0.0585,1.000
1229,0.762,37,1,0.0585,1.000
1230,0.781,34,1,0.0584,1.000
1231,0.794,32,1,0.0584,1.000
1232,0.794,32,1,0.0583,1.000
1233,0.788,33,1,0.0582,1.000
1234,0.762,37,1,0.0582,1.000
1235,0.762,37,1,0.0581,1.000
1236,0.781,34,1,0.0581,1.000
1237,0.801,31,1,0.0580,1.000
1238,0.775,35,1,0.0580,1.000
1239,0.769,36,1,0.0579,1.000
1240,0.743,40,1,0.0578,1.000
1241,0.788,33,1,0.0578,1.000
1242,0.756,38,1,0.0577,1.000
1243,0.775,35,1,0.0577,1.000
1244,0.769,36,1,0.0576,1.000
1245,0.852,23,1,0.0576,1.000
1246,0.801,31,1,0.0575,1.000
1247,0.749,39,1,0.0574,1.000
1248,0.814,29,1,0.0574,1.000
1249,0.807,30,1,0.0573,1.000
1250,0.781,34,1,0.0573,1.000
1251,0.775,35,1,0.0572,1.000
1252,0.762,37,1,0.0572,1.000
1253,0.743,40,1,0.0571,1.000
1254,0.801,31,1,0.0570,1.000
1255,0.788,33,1,0.0570,1.000
1256,0.781,34,1,0.0569,1.000
1257,0.781,34,1,0.0569,1.000
1258,0.788,33,1,0.0568,1.000
1259,0.794,32,1,0.0568,1.000
1260,0.788,33,1,0.0567,1.000
1261,0.859,22,1,0.0566,1.000
1262,0.801,31,1,0.0566,1.000
1263,0.775,35,1,0.0565,1.000
1264,0.775,35,1,0.0565,1.000
1265,0.788,33,1,0.0564,1.000
1266,0.775,35,1,0.0564,1.000
1267,0.749,39,1,0.0563,1.000
1268,0.775,35,1,0.0562,1.000
1269,0.807,30,1,0.0562,1.000
1270,0.794,32,1,0.0561,1.000
1271,0.775,35,1,0.0561,1.000
1272,0.781,34,1,0.0560,1.000
1273,0.762,37,1,0.0560,1.000
1274,0.743,40,1,0.0559,1.000
1275,0.781,34,1,0.0559,1.000
1276,0.801,31,1,0.0558,1.000
1277,0.794,32,1,0.0557,1.000
1278,0.762,37,1,0.0557,1.000
1279,0.730,42,1,0.0556,1.000
1280,0.736,41,1,0.0556,1.000
1281,0.833,26,1,0.0555,1.000
1282,0.781,34,1,0.0555,1.000
1283,0.775,35,1,0.0554,1.000
1284,0.756,38,1,0.0553,1.000
1285,0.788,33,1,0.0553,1.000
1286,0.769,36,1,0.0552,1.000
1287,0.807,30,1,0.0552,1.000
1288,0.794,32,1,0.0551,1.000
1289,0.769,36,1,0.0551,1.000
1290,0.788,33,1,0.0550,1.000
1291,0.769,36,1,0.0550,1.000
1292,0.807,30,1,0.0549,1.000
1293,0.781,34,1,0.0549,1.000
1294,0.801,31,1,0.0548,1.000
1295,0.801,31,1,0.0547,1.000
1296,0.762,37,1,0.0547,1.000
1297,0.807,30,1,0.0546,1.000
1298,0.788,33,1,0.0546,1.000
1299,0.769,36,1,0.0545,1.000
1300,0.756,38,1,0.0545,1.000
1301,0.775,35,1,0.0544,1.000
1302,0.781,34,1,0.0544,1.000
1303,0.781,34,1,0.0543,1.000
1304,0.775,35,1,0.0543,1.000
1305,0.788,33,1,0.0542,1.000
1306,0.781,34,1,0.0541,1.000
1307,0.769,36,1,0.0541,1.000
1308,0.775,35,1,0.0540,1.000
1309,0.794,32,1,0.0540,1.000
1310,0.749,39,1,0.0539,1.000
1311,0.781,34,1,0.0539,1.000
1312,0.807,30,1,0.0538,1.000
1313,0.781,34,1,0.0538,1.000
1314,0.736,41,1,0.0537,1.000
1315,0.724,43,1,0.0537,1.000
1316,0.814,29,1,0.0536,1.000
1317,0.781,34,1,0.0536,1.000
1318,0.762,37,1,0.0535,1.000
1319,0.762,37,1,0.0534,1.000
1320,0.833,26,1,0.0534,1.000
1321,0.775,35,1,0.0533,1.000
1322,0.794,32,1,0.0533,1.000
1323,0.794,32,1,0.0532,1.000
1324,0.781,34,1,0.0532,1.000
1325,0.788,33,1,0.0531,1.000
1326,0.794,32,1,0.0531,1.000
1327,0.769,36,1,0.0530,1.000
1328,0.749,39,1,0.0530,1.000
1329,0.807,30,1,0.0529,1.000
1330,0.762,37,1,0.0529,1.000
1331,0.788,33,1,0.0528,1.000
1332,0.769,36,1,0.0528,1.000
1333,0.775,35,1,0.0527,1.000
1334,0.769,36,1,0.0526,1.000
1335,0.775,35,1,0.0526,1.000
1336,0.756,38,1,0.0525,1.000
1337,0.749,39,1,0.0525,1.000
1338,0.807,30,1,0.0524,1.000
1339,0.801,31,1,0.0524,1.000
1340,0.794,32,1,0.0523,1.000
1341,0.788,33,1,0.0523,1.000
1342,0.788,33,1,0.0522,1.000
1343,0.814,29,1,0.0522,1.000
1344,0.788,33,1,0.0521,1.000
1345,0.781,34,1,0.0521,1.000
1346,0.814,29,1,0.0520,1.000
1347,0.769,36,1,0.0520,1.000
1348,0.807,30,1,0.0519,1.000
1349,0.794,32,1,0.0519,1.000
1350,0.775,35,1,0.0518,1.000
1351,0.769,36,1,0.0518,1.000
1352,0.749,39,1,0.0517,1.000
1353,0.775,35,1,0.0517,1.000
1354,0.769,36,1,0.0516,1.000
1355,0.794,32,1,0.0516,1.000
1356,0.807,30,1,0.0515,1.000
1357,0.762,37,1,0.0515,1.000
1358,0.807,30,1,0.0514,1.000
1359,0.826,27,1,0.0513,1.000
1360,0.788,33,1,0.0513,1.000
1361,0.769,36,1,0.0512,1.000
1362,0.769,36,1,0.0512,1.000
1363,0.781,34,1,0.0511,1.000
1364,0.756,38,1,0.0511,1.000
1365,0.801,31,1,0.0510,1.000
1366,0.775,35,1,0.0510,1.000
1367,0.769,36,1,0.0509,1.000
1368,0.743,40,1,0.0509,1.000
1369,0.820,28,1,0.0508,1.000
1370,0.794,32,1,0.0508,1.000
1371,0.801,31,1,0.0507,1.000
1372,0.775,35,1,0.0507,1.000
1373,0.781,34,1,0.0506,1.000
1374,0.775,35,1,0.0506,1.000
1375,0.769,36,1,0.0505,1.000
1376,0.756,38,1,0.0505,1.000
1377,0.801,31,1,0.0504,1.000
1378,0.788,33,1,0.0504,1.000
1379,0.794,32,1,0.0503,1.000
1380,0.801,31,1,0.0503,1.000
1381,0.769,36,1,0.0502,1.000
1382,0.769,36,1,0.0502,1.000
1383,0.775,35,1,0.0501,1.000
1384,0.704,46,1,0.0501,1.000
1385,0.762,37,1,0.0500,1.000
1386,0.839,25,1,0.0500,1.000
1387,0.807,30,1,0.0500,1.000
1388,0.775,35,1,0.0500,1.000
1389,0.781,34,1,0.0500,1.000
1390,0.775,35,1,0.0500,1.000
1391,0.736,41,1,0.0500,1.000
1392,0.814,29,1,0.0500,1.000
1393,0.788,33,1,0.0500,1.000
1394,0.769,36,1,0.0500,1.000
1395,0.788,33,1,0.0500,1.000
1396,0.762,37,1,0.0500,1.000
1397,0.724,43,1,0.0500,1.000
1398,0.820,28,1,0.0500,1.000
1399,0.820,28,1,0.0500,1.000
1400,0.756,38,1,0.0500,1.000
1401,0.775,35,1,0.0500,1.000
1402,0.769,36,1,0.0500,1.000
1403,0.794,32,1,0.0500,1.000
1404,0.839,25,1,0.0500,1.000
1405,0.801,31,1,0.0500,1.000
1406,0.788,33,1,0.0500,1.000
1407,0.807,30,1,0.0500,1.000
1408,0.775,35,1,0.0500,1.000
1409,0.781,34,1,0.0500,1.000
1410,0.769,36,1,0.0500,1.000
1411,0.781,34,1,0.0500,1.000
1412,0.794,32,1,0.0500,1.000
1413,0.833,26,1,0.0500,1.000
1414,0.788,33,1,0.0500,1.000
1415,0.807,30,1,0.0500,1.000
1416,0.769,36,1,0.0500,1.000
1417,0.801,31,1,0.0500,1.000
1418,0.769,36,1,0.0500,1.000
1419,0.807,30,1,0.0500,1.000
1420,0.814,29,1,0.0500,1.000
1421,0.756,38,1,0.0500,1.000
1422,0.788,33,1,0.0500,1.000
1423,0.807,30,1,0.0500,1.000
1424,0.820,28,1,0.0500,1.000
1425,0.788,33,1,0.0500,1.000
1426,0.814,29,1,0.0500,1.000
1427,0.736,41,1,0.0500,1.000
1428,0.807,30,1,0.0500,1.000
1429,0.775,35,1,0.0500,1.000
1430,0.775,35,1,0.0500,1.000
1431,0.781,34,1,0.0500,1.000
1432,0.801,31,1,0.0500,1.000
1433,0.769,36,1,0.0500,1.000
1434,0.775,35,1,0.0500,1.000
1435,0.775,35,1,0.0500,1.000
1436,0.769,36,1,0.0500,1.000
1437,0.814,29,1,0.0500,1.000
1438,0.788,33,1,0.0500,1.000
1439,0.801,31,1,0.0500,1.000
1440,0.769,36,1,0.0500,1.000
1441,0.775,35,1,0.0500,1.000
1442,0.794,32,1,0.0500,1.000
1443,0.775,35,1,0.0500,1.000
1444,0.814,29,1,0.0500,1.000
